priority,review_type,directory,file_count,image_file_count,total_size_mb,why_review
1,sponsor_clinic_candidate,extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/FundusImages,484,484,499.794535,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Images,650,650,465.651101,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Images_Glare,650,650,182.675507,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Clinic/Subject-3,215,215,153.447057,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Clinic/Subject-2,208,208,140.022337,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/Tien_DiscView/rivanna_origa_train_backup_10082025/rivanna_origa_train_backup_10082025/automated_screening/ORIGA/Thresholded_Images_Square,650,650,90.597908,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/Papila/ExpertsSegmentations/ImagesWithContours,488,488,83.191399,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/Tien_DiscView/rivanna_origa_train_backup_10082025/rivanna_origa_train_backup_10082025/automated_screening/ORIGA/psd_clinic_images_png,113,113,67.969578,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/convert_psd_to_label/convert_psd_to_label/processed_pngs/clinic_images,113,113,67.969578,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/Tien_DiscView/rivanna_origa_train_backup_10082025/rivanna_origa_train_backup_10082025/automated_screening/ORIGA/oldthreshold_mistake_training_split/train/images,455,455,63.436172,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/Tien_DiscView/Test_Non_Processed_Images/Test Non-processed Images Data,109,109,58.332504,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/Tien_DiscView/rivanna_origa_train_backup_10082025/rivanna_origa_train_backup_10082025/automated_screening/ORIGA/Test Non-processed Images Data,109,109,58.332504,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/rivanna_train_discview/rivanna_train_discview/Test Non-processed Images Data,109,109,58.332504,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/Tien_DiscView/rivanna_origa_train_backup_10082025/rivanna_origa_train_backup_10082025/automated_screening/ORIGA/Thresholded_Images_Square_15_4,650,650,46.608776,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/rivanna_train_discview/rivanna_train_discview/Thresholded_Images_Square_15_4,650,650,46.608776,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Images_Square,650,650,35.066236,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/Tien_DiscView/rivanna_origa_train_backup_10082025/rivanna_origa_train_backup_10082025/automated_screening/ORIGA/Images_Square,650,650,35.066236,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/rivanna_train_discview/rivanna_train_discview/Images_Square,650,650,35.066236,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/Tien_DiscView/rivanna_origa_train_backup_10082025/rivanna_origa_train_backup_10082025/automated_screening/ORIGA/training_split/train/images,455,455,32.426007,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Masks,650,650,6.949396,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Images_Cropped,650,650,5.839859,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Predictions/Disc,650,650,5.102674,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Predictions/Cup,650,650,5.028817,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Masks_Cropped,650,650,1.641981,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/Tien_DiscView/Tien_MSDS_Google_Drive/MSDS Google Drive/UVA Capstone/Data Sets/ORIGA/Masks_Square,651,651,0.993426,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/Tien_DiscView/rivanna_origa_train_backup_10082025/rivanna_origa_train_backup_10082025/automated_screening/ORIGA/Masks_Square,650,650,0.98952,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/rivanna_train_discview/rivanna_train_discview/Masks_Square,650,650,0.98952,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/Tien_DiscView/rivanna_origa_train_backup_10082025/rivanna_origa_train_backup_10082025/automated_screening/ORIGA/oldthreshold_mistake_training_split/train/masks,455,455,0.692397,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/Tien_DiscView/rivanna_origa_train_backup_10082025/rivanna_origa_train_backup_10082025/automated_screening/ORIGA/training_split/train/masks,455,455,0.692397,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
1,sponsor_clinic_candidate,extracted_zips/convert_psd_to_label/convert_psd_to_label/processed_pngs/clinic_image_masks,113,113,0.303635,Potential Dr. Dirghangi / clinic / head-mounted frame data. Needed for sponsor holdout and grouped splitting.
