artifact_id,relative_path,source_notebook,role,required,dashboard_relevant,exists,size_bytes,modified_utc
combined_manifest,data/processed/manifests/combined_segmentation_manifest_with_splits.csv,02_split_strategy,public dataset manifest and train/validation/test split inventory,True,True,True,681541.0,2026-07-04T01:25:28+00:00
clinical_psd_extraction_summary,reports/data_audit/clinical_psd_annotation_extraction_summary.csv,08_clinical_data_generalization,public-safe clinical PSD annotation extraction summary,True,True,True,4749.0,2026-07-06T20:24:46+00:00
clinical_generalization_dataset_summary,reports/data_audit/clinical_generalization_dataset_summary.csv,08_clinical_data_generalization,public-safe clinical generalization dataset summary,True,True,True,458.0,2026-07-06T20:24:46+00:00
n03_baseline_summary,reports/training/baseline_unet_resnet18_256px_5epoch_summary.csv,03_baseline_unet_reproduction,baseline public validation summary,False,True,False,,
n04_model_comparison_summary,reports/training/model_comparison_summary.csv,04_model_comparison,public model architecture comparison summary,False,True,True,2178.0,2026-07-05T02:29:47+00:00
n05_online_augmentation_summary,reports/training/online_augmentation_summary.csv,05_online_augmentation_ablation,online augmentation ablation summary,False,True,False,,
n06_offline_synthetic_summary,reports/training/offline_synthetic_expansion_summary.csv,06_offline_synthetic_expansion,offline or virtual synthetic expansion summary,False,True,False,,
n07_final_model_test_summary,reports/training/final_model_selection_test_summary.csv,07_final_model_selection_and_test_evaluation,selected public model held-out public test summary,False,True,True,749.0,2026-07-06T18:23:22+00:00
n09_combined_public_augmentation_summary,reports/training/combined_public_augmentation_summary.csv,09_combined_public_augmentation_expansion,combined public augmentation screen summary,True,True,True,3193.0,2026-07-12T16:55:49+00:00
n10_long_public_summary,reports/training/long_training_selected_public_summary.csv,10_long_training_selected_public_model,long-trained selected public model public validation and public test summary,True,True,True,2005.0,2026-07-12T18:32:00+00:00
n10_long_public_test_summary,reports/training/long_training_selected_public_test_summary.csv,10_long_training_selected_public_model,long-trained selected public model held-out public test summary,True,True,True,624.0,2026-07-12T18:32:00+00:00
n11_clinical_image_summary,reports/training/long_training_clinical_generalization_evaluation_summary.csv,11_long_training_clinical_generalization,long-trained public model clinical generalization image-weighted summary,True,True,True,1609.0,2026-07-12T19:14:39+00:00
n11_clinical_patient_summary,reports/training/long_training_clinical_generalization_patient_weighted_summary.csv,11_long_training_clinical_generalization,long-trained public model clinical generalization patient-weighted summary,True,True,True,1657.0,2026-07-12T19:14:39+00:00
n11_compare_notebook08,reports/training/long_training_clinical_generalization_comparison_to_notebook_08.csv,11_long_training_clinical_generalization,comparison against Notebook 08 pure clinical generalization baseline,True,True,True,1130.0,2026-07-12T19:14:39+00:00
n12_split_summary,reports/data_audit/clinical_domain_adaptation_split_summary.csv,12_clinical_domain_adaptation_experiments,clinical-domain adaptation patient-group split summary,True,True,True,541.0,2026-07-12T20:23:05+00:00
n12_comparison_summary,reports/training/clinical_domain_adaptation_comparison_summary.csv,12_clinical_domain_adaptation_experiments,clinical-only fine-tuning/adaptation comparison summary,True,True,True,2211.0,2026-07-12T20:25:23+00:00
n13_split_summary,reports/data_audit/hybrid_public_clinical_split_summary.csv,13_hybrid_public_clinical_training_experiment,hybrid public-clinical 50/50 patient-group split summary,True,True,True,391.0,2026-07-12T21:28:11+00:00
n13_dataset_summary,reports/data_audit/hybrid_public_clinical_dataset_summary.csv,13_hybrid_public_clinical_training_experiment,hybrid public-clinical dataset and virtual synthetic add-back summary,True,True,True,907.0,2026-07-12T21:28:13+00:00
n13_public_test_summary,reports/training/hybrid_public_clinical_public_test_summary.csv,13_hybrid_public_clinical_training_experiment,hybrid model held-out public test summary,True,True,True,541.0,2026-07-12T23:20:17+00:00
n13_clinical_test_summary,reports/training/hybrid_public_clinical_clinical_test_summary.csv,13_hybrid_public_clinical_training_experiment,hybrid experiment held-out clinical image-weighted summary,True,True,True,2341.0,2026-07-12T23:20:19+00:00
n13_patient_weighted_summary,reports/training/hybrid_public_clinical_patient_weighted_summary.csv,13_hybrid_public_clinical_training_experiment,hybrid experiment held-out clinical patient-weighted summary,True,True,True,2392.0,2026-07-12T23:20:19+00:00
n13_comparison_summary,reports/training/hybrid_public_clinical_comparison_summary.csv,13_hybrid_public_clinical_training_experiment,hybrid model versus zero-shot Notebook 10 on same held-out clinical split,True,True,True,1262.0,2026-07-12T23:20:19+00:00
n13_final_summary,reports/training/hybrid_public_clinical_final_summary.csv,13_hybrid_public_clinical_training_experiment,hybrid experiment final handoff summary,True,True,True,827.0,2026-07-12T23:20:19+00:00
