asset_id,asset_type,path,reports_path,title,description,public_safe
pipeline_storyboard,figure,docs/dashboard_assets/figures/pipeline_storyboard.png,reports/final/figures/pipeline_storyboard.png,Capstone Model Development Pipeline,"Storyboard-style overview of the full public-data, clinical-transfer, adaptation, hybrid-training, and dashboard-output pipeline.",True
data_composition,figure,docs/dashboard_assets/figures/data_composition.png,reports/final/figures/data_composition.png,Public and Clinical Data Composition,"Counts for public split rows, mask-ready clinical samples, and Notebook 13 clinical train/holdout rows.",True
public_performance_trajectory,figure,docs/dashboard_assets/figures/public_performance_trajectory.png,reports/final/figures/public_performance_trajectory.png,Public Test Performance Trajectory,"Held-out public test Dice metrics for the selected public model, long public-training model, and hybrid model.",True
public_to_clinical_gap,figure,docs/dashboard_assets/figures/public_to_clinical_gap.png,reports/final/figures/public_to_clinical_gap.png,Public-to-Clinical Performance Gap,High public test performance contrasted with much lower clinical patient-weighted performance.,True
clinical_strategy_dice,figure,docs/dashboard_assets/figures/clinical_strategy_dice.png,reports/final/figures/clinical_strategy_dice.png,Clinical Strategy Comparison: Patient-Weighted Dice,Patient-weighted held-out clinical Dice across Notebook 12 clinical-only adaptation and Notebook 13 hybrid training conditions.,True
clinical_strategy_cdr,figure,docs/dashboard_assets/figures/clinical_strategy_cdr.png,reports/final/figures/clinical_strategy_cdr.png,Clinical Strategy Comparison: Patient-Weighted CDR Error,Patient-weighted CDR absolute error across Notebook 12 clinical-only adaptation and Notebook 13 hybrid training conditions.,True
evidence_matrix,figure,docs/dashboard_assets/figures/evidence_matrix.png,reports/final/figures/evidence_matrix.png,Final Claims and Evidence Matrix,"Compact visual table linking final project claims to metrics, notebooks, and caveats.",True
model_development_registry_csv,dashboard_data,docs/dashboard_data/model_development_registry.csv,reports/final/tables/model_development_registry.csv,model_development_registry.csv,Ordered model-development timeline and experiment registry.,True
public_model_performance_summary_csv,dashboard_data,docs/dashboard_data/public_model_performance_summary.csv,reports/final/tables/public_model_performance_summary.csv,public_model_performance_summary.csv,Public held-out test performance for the key final models.,True
clinical_transfer_summary_csv,dashboard_data,docs/dashboard_data/clinical_transfer_summary.csv,reports/final/tables/clinical_transfer_summary.csv,clinical_transfer_summary.csv,Pure clinical generalization comparison for public-only models.,True
clinical_strategy_comparison_summary_csv,dashboard_data,docs/dashboard_data/clinical_strategy_comparison_summary.csv,reports/final/tables/clinical_strategy_comparison_summary.csv,clinical_strategy_comparison_summary.csv,Clinical-only adaptation and hybrid training comparison table.,True
public_clinical_tradeoff_summary_csv,dashboard_data,docs/dashboard_data/public_clinical_tradeoff_summary.csv,reports/final/tables/public_clinical_tradeoff_summary.csv,public_clinical_tradeoff_summary.csv,Public versus clinical tradeoff table for key final model states.,True
dashboard_kpi_cards_json,dashboard_data,docs/dashboard_data/dashboard_kpi_cards.json,reports/final/dashboard_kpi_cards.json,dashboard_kpi_cards.json,Dashboard KPI card values and labels.,True
dashboard_story_sections_json,dashboard_data,docs/dashboard_data/dashboard_story_sections.json,reports/final/dashboard_story_sections.json,dashboard_story_sections.json,Dashboard storyboard sections and takeaways.,True
final_claims_evidence_matrix_csv,dashboard_data,docs/dashboard_data/final_claims_evidence_matrix.csv,reports/final/tables/final_claims_evidence_matrix.csv,final_claims_evidence_matrix.csv,"Final claims, supporting evidence, caveats, and dashboard sections.",True
