notebook,stage_order,stage,condition,training_data_regime,clinical_data_role,main_question,primary_outputs,comparison_scope
00–02,1,data_engineering,public_manifest_and_split_construction,public datasets only,not used,Can public segmentation datasets be organized into a reproducible manifest and split strategy?,combined public segmentation manifest with train/validation/test splits,dataset_inventory
03,2,baseline_modeling,baseline_unet_resnet18,public train split,not used,Can a baseline U-Net reproduce a workable public-data segmentation pipeline?,baseline validation metrics and training history,public_validation_context
04,3,architecture_comparison,unet_vs_unetplusplus_vs_deeplabv3plus,public train split,not used,Which architecture is the strongest candidate under the same public-data training budget?,public validation model comparison,public_validation_context
05–06,4,augmentation_and_synthetic_expansion,online_and_virtual_synthetic_augmentation,public train split with augmentation/synthetic expansion,not used,Can augmentation and synthetic expansion improve public validation robustness?,augmentation and synthetic-expansion summaries,public_validation_context
07,5,public_model_selection,selected_public_model,public train split only,not used,Which public-data-trained model should serve as the first held-out public test finalist?,held-out public test metrics for selected public model,same_public_test_split
09–10,6,long_public_training,combo_affine_vignette_blur_25_epoch_public_model,public train split with selected virtual synthetic add-back recipe,not used for training or selection,Does longer public-data training with the selected recipe improve held-out public performance?,25-epoch public validation and held-out public test metrics,same_public_test_split
11,7,pure_clinical_generalization,long_public_model_on_clinical_psd_subset,public train split only,evaluation only,Does the long-trained public model generalize to PSD-derived clinical/head-mounted imagery?,clinical image-weighted and patient-weighted generalization metrics,same_clinical_split_as_notebook_08
12,8,clinical_only_adaptation,clinical_fine_tuning_fractions,Notebook 10 checkpoint plus clinical-only fine-tuning fractions,training/validation/testing with patient-group separation,Does clinical-only fine-tuning improve held-out clinical performance?,clinical adaptation comparison summary,within_notebook_same_clinical_split
13,9,hybrid_public_clinical_training,public_plus_50pct_clinical_preaugmentation,public train split plus 50% clinical patient groups before virtual synthetic add-back,50% clinical groups used for training; 50% held out for testing,Does adding clinical data before augmentation improve held-out patient-weighted clinical performance?,"hybrid public test, held-out clinical test, and comparison summaries",within_notebook_same_clinical_split
14,10,synthesis_and_dashboard_assets,final_comparative_analysis,none,aggregate public-safe metrics only,What is the final evidence-backed project story?,"final tables, figures, dashboard data, and storyboard assets",synthesis
